n [count],H [mm],b [mm],d [mm],Î³ [N/mm3],Pmax [N],P0 [N]
3,90.0,19.4114,5.0,1.6227528090000002e-05,9.080643766215946,0.04693902477297509
3,90.0,12.940999999999999,5.0,1.6227528090000002e-05,8.758712685220129,0.15424938510491631
6,90.0,19.4114,5.0,1.6227528090000002e-05,11.753734108513036,0.7200287064686859
6,90.0,12.940999999999999,5.0,1.6227528090000002e-05,10.797682927270913,1.032217725719171
F,90.0,19.4114,5.0,1.6227528090000002e-05,14.095078801970407,2.017568487941233
2,90.0,25.0,5.0,1.6227528090000002e-05,9.423977046144007,0.34148815540773536
3,60.0,25.0,5.0,1.6227528090000002e-05,4.436996466849162,1.5395424524974817
3,90.0,37.5,5.0,1.6227528090000002e-05,11.139099021402783,1.2761375825403
3,90.0,25.0,5.0,1.6227528090000002e-05,11.187882725873392,1.471273735
3,90.0,25.0,5.0,1.6227528090000002e-05,12.050443881944997,2.4328356933299995
3,120.0,25.0,5.0,1.6227528090000002e-05,21.138668177463693,2.9150934581447117
3,120.0,25.0,5.0,1.6227528090000002e-05,22.377158183415,4.523873349554999
3,150.0,25.0,5.0,1.6227528090000002e-05,35.883579700220004,5.215328473075
6,60.0,25.0,5.0,1.6227528090000002e-05,5.7637628783804,0.2030335343982196
6,90.0,37.5,5.0,1.6227528090000002e-05,14.59258940572752,2.7102147992261676
6,90.0,25.0,5.0,1.6227528090000002e-05,13.890200587874556,3.237024539140532
6,120.0,25.0,5.0,1.6227528090000002e-05,26.367723489059344,3.94915586356152
6,120.0,25.0,5.0,1.6227528090000002e-05,27.943116562584997,7.764408272844999
6,150.0,25.0,5.0,1.6227528090000002e-05,46.467243922330006,9.977065060375
9,90.0,25.0,5.0,1.6227528090000002e-05,16.465722631585038,4.241860314498643
12,90.0,25.0,5.0,1.6227528090000002e-05,16.953490728774117,5.236953138466041
F,90.0,25.0,5.0,1.6227528090000002e-05,18.007110208602843,5.958826969455055
2,90.0,25.0,5.0,1.6227528090000002e-05,9.560514481357332,0.8096991781849023
3,60.0,25.0,5.0,1.6227528090000002e-05,5.383233080247388,2.222446702037085
3,90.0,53.033,5.0,1.6227528090000002e-05,14.934077561135252,2.202890072447857
3,90.0,35.3553,5.0,1.6227528090000002e-05,14.153605457831734,2.2809733578984117
3,90.0,25.0,5.0,1.6227528090000002e-05,13.02197475382832,2.3882837182303525
3,90.0,25.0,5.0,1.6227528090000002e-05,14.669144032059993,3.199809867169998
3,120.0,25.0,5.0,1.6227528090000002e-05,24.543372188381678,2.5346357212875668
3,120.0,25.0,5.0,1.6227528090000002e-05,25.433287879439998,6.266749433489999
3,150.0,25.0,5.0,1.6227528090000002e-05,42.357748607195,6.302060238144999
6,60.0,25.0,5.0,1.6227528090000002e-05,6.788083222051872,2.7395143802061104
6,90.0,53.033,5.0,1.6227528090000002e-05,21.733747524630093,5.188169433995428
6,90.0,35.3553,5.0,1.6227528090000002e-05,18.6607153219852,4.388212317555862
6,90.0,25.0,5.0,1.6227528090000002e-05,16.377897284389142,3.7638342790548913
6,90.0,25.0,5.0,1.6227528090000002e-05,15.985357291119998,5.092730638099998
6,120.0,25.0,5.0,1.6227528090000002e-05,29.66511847411345,4.836938772019669
6,120.0,25.0,5.0,1.6227528090000002e-05,30.525533088365002,7.927221218139999
6,150.0,25.0,5.0,1.6227528090000002e-05,47.88742336203,9.283650568185001
9,90.0,35.3553,5.0,1.6227528090000002e-05,20.83621988549047,5.5686267260298825
9,90.0,25.0,5.0,1.6227528090000002e-05,17.29490682290599,4.729628411687727
12,90.0,35.3553,5.0,1.6227528090000002e-05,21.948365576357837,7.451502903278116
12,90.0,25.0,5.0,1.6227528090000002e-05,18.016852715170874,6.163705628373598
F,90.0,35.3553,5.0,1.6227528090000002e-05,23.880025902899362,11.373276371655885
F,90.0,25.0,5.0,1.6227528090000002e-05,17.519342111413756,6.82712486477715
2,90.0,25.0,5.0,1.6227528090000002e-05,10.497081539108782,1.6681829504858
3,90.0,43.3013,5.0,1.6227528090000002e-05,19.128998850860913,3.7150505745842795
3,90.0,25.0,5.0,1.6227528090000002e-05,15.616981810674849,2.9053509515766893
3,90.0,25.0,5.0,1.6227528090000002e-05,14.246427403144994,3.4538354447799984
3,120.0,25.0,5.0,1.6227528090000002e-05,26.825020188819998,1.6717455094900002
6,90.0,43.3013,5.0,1.6227528090000002e-05,23.714191555642238,6.271015988705536
6,90.0,25.0,5.0,1.6227528090000002e-05,17.733963276900326,4.35891273657592
6,90.0,25.0,5.0,1.6227528090000002e-05,19.109162678795,5.055460464774999
6,120.0,25.0,5.0,1.6227528090000002e-05,33.12854063715,8.901143165599999
6,150.0,25.0,5.0,1.6227528090000002e-05,57.151950962715,10.380170350619998
F,90.0,25.0,5.0,1.6227528090000002e-05,17.616838348724496,6.885651075815788
3,90.0,25.0,5.0,1.6227528090000002e-05,16.336478510379994,5.149611169429999
3,120.0,25.0,5.0,1.6227528090000002e-05,30.265623520755,5.175113362755
3,150.0,25.0,5.0,1.6227528090000002e-05,45.706152757825,6.17357841317
6,90.0,25.0,5.0,1.6227528090000002e-05,18.275491516975,5.809702664919998
6,120.0,25.0,5.0,1.6227528090000002e-05,36.432825650095,9.674981013774998
6,150.0,25.0,5.0,1.6227528090000002e-05,59.55683280021999,11.04808166882
2,90.0,25.0,5.0,1.6227528090000002e-05,12.282388972947714,2.9754647937036784
3,90.0,25.0,5.0,1.6227528090000002e-05,14.231688743282286,3.324850331159112
6,90.0,25.0,5.0,1.6227528090000002e-05,16.455980569839703,4.749185041276954
9,90.0,25.0,5.0,1.6227528090000002e-05,17.480300468688483,5.627153381891207
12,90.0,25.0,5.0,1.6227528090000002e-05,17.460815900375117,5.04181698611552
F,60.0,12.5,5.0,1.6227528090000002e-05,6.063413449065,1.3579395741449996
F,60.0,25.0,5.0,1.6227528090000002e-05,9.903385737595,4.423190435334997
F,60.0,37.5,5.0,1.6227528090000002e-05,15.186153562054994,8.77216414347
F,60.0,50.0,5.0,1.6227528090000002e-05,22.715467014449995,13.390614786954998
F,90.0,25.0,5.0,1.6227528090000002e-05,19.646066084207252,7.451502903278116
F,90.0,12.5,5.0,1.6227528090000002e-05,13.475755141589994,2.400283499319998
F,90.0,25.0,5.0,1.6227528090000002e-05,20.975132814195,6.901769247589997
F,90.0,37.5,5.0,1.6227528090000002e-05,29.868635618779997,13.965112860579998
F,90.0,50.0,5.0,1.6227528090000002e-05,43.42549567853,21.172559311329998
F,120.0,12.5,5.0,1.6227528090000002e-05,27.261865258389996,3.1722080700799977
F,120.0,25.0,5.0,1.6227528090000002e-05,36.40519737505,9.80982147061
F,120.0,37.5,5.0,1.6227528090000002e-05,50.193183503995,16.88907735389
F,120.0,50.0,5.0,1.6227528090000002e-05,70.16964630878999,26.459064450105
F,150.0,37.5,5.0,1.6227528090000002e-05,76.94761934877499,20.32484502671
F,150.0,50.0,5.0,1.6227528090000002e-05,96.6078392657,33.270717448849986
3,112.5,31.25,6.25,1.6227528090000002e-05,23.019568288954996,4.592529706204999
3,112.5,31.25,6.25,1.6227528090000002e-05,25.092953975179995,5.462505086325
6,112.5,31.25,6.25,1.6227528090000002e-05,33.039286392840005,10.430187207615
3,135.0,37.5,7.5,1.6227528090000002e-05,36.89477084034,5.526257137309999
6,135.0,37.5,7.5,1.6227528090000002e-05,45.069626642284994,9.086513367224999
3,135.0,37.5,7.5,1.6227528090000002e-05,41.34557778274,10.09573827402
6,135.0,37.5,7.5,1.6227528090000002e-05,52.000858008470004,14.704454836715
3,157.5,43.75,8.75,1.6227528090000002e-05,52.030284823125,10.531208451260001
6,157.5,43.75,8.75,1.6227528090000002e-05,66.92157595564,14.588719695410001
3,157.5,43.75,8.75,1.6227528090000002e-05,63.1022035161,14.920036973394
6,157.5,43.75,8.75,1.6227528090000002e-05,80.171990951535,21.283577453985
6,180.0,50.0,10.0,1.6227528090000002e-05,94.66395039272498,21.632566707535
3,180.0,50.0,10.0,1.6227528090000002e-05,91.2480147082,15.646989620185002
6,180.0,50.0,10.0,1.6227528090000002e-05,111.39337450395,85.96256966828999
3,90.0,25.0,5.0,1.533716814e-05,7.110014303047688,1.2761375825403
3,120.0,25.0,5.0,1.533716814e-05,11.66590876131714,2.9638776074380155
6,90.0,25.0,5.0,1.533716814e-05,8.748970178652105,2.1346209100185054
6,120.0,25.0,5.0,1.533716814e-05,15.363319447285695,4.339428168262558
F,90.0,25.0,5.0,1.533716814e-05,11.66590876131714,5.4125326612273295
3,90.0,25.0,5.0,1.533716814e-05,7.900229357741924,2.027310549686568
3,120.0,25.0,5.0,1.533716814e-05,12.953633530123104,2.9150934581447117
6,90.0,25.0,5.0,1.533716814e-05,9.870858376087488,3.5199144222337626
6,120.0,25.0,5.0,1.533716814e-05,17.93884149099618,4.95399163891963
F,90.0,25.0,5.0,1.533716814e-05,11.100057378677503,5.753948310536512
3,90.0,25.0,5.0,1.533716814e-05,8.739227672084079,2.5834198705808697
6,90.0,25.0,5.0,1.533716814e-05,10.036695392280755,4.007754580698716
F,90.0,25.0,5.0,1.533716814e-05,11.529370881281128,5.988126105612304
3,90.0,25.0,5.0,1.533716814e-05,7.861187715016644,2.524893214719544
6,90.0,25.0,5.0,1.533716814e-05,10.592804268352369,4.329685661694532
F,60.0,50.0,5.0,1.533716814e-05,15.198136307690001,10.892366253773668
F,90.0,25.0,5.0,1.533716814e-05,12.153676858506227,6.544162920408052
F,90.0,25.0,5.0,1.533716814e-05,13.187881911505,4.9507842826749995
F,90.0,50.0,5.0,1.533716814e-05,30.124631352374998,16.834048377514243
F,120.0,12.5,5.0,1.533716814e-05,14.965006739900003,1.651705433421668
F,120.0,25.0,5.0,1.533716814e-05,22.573030326525,6.534560219005003
F,150.0,37.5,5.0,1.533716814e-05,52.199373043754996,18.209852320412942
3,90.0,25.0,5.0,1.534730914e-05,5.702605711267501,1.0075668964795006
6,90.0,25.0,5.0,1.534730914e-05,7.934872992134268,2.10802571602
3,90.0,25.0,5.0,1.534730914e-05,6.3970065563145,1.0311100153340005
6,90.0,25.0,5.0,1.534730914e-05,9.017665388634,2.5425167973240006
3,90.0,25.0,5.0,1.534730914e-05,7.194380129129901,1.3694771959365002
6,90.0,25.0,5.0,1.534730914e-05,10.002382300281,3.849900737123
3,90.0,25.0,5.0,1.534730914e-05,8.383098190658101,2.6837461885675005
6,90.0,25.0,5.0,1.534730914e-05,11.2862303781465,3.6380493443035
F,60.0,50.0,5.0,1.534730914e-05,14.507070508175001,9.464497581532367
F,90.0,25.0,5.0,1.534730914e-05,11.12583075135,5.106443276795001
F,90.0,50.0,5.0,1.534730914e-05,27.10879521987,15.555964294885001
F,120.0,12.5,5.0,1.534730914e-05,12.158245443399998,0.9866982773873088
F,120.0,25.0,5.0,1.534730914e-05,19.678395562035004,6.3900952412738015
F,150.0,37.5,5.0,1.534730914e-05,44.422068045495,14.277479135129326
3,90.0,25.0,5.0,1.513421783e-05,5.1808277957765005,0.8045453132534996
6,90.0,25.0,5.0,1.513421783e-05,7.030587322980199,1.8736109867474997
3,90.0,25.0,5.0,1.513421783e-05,6.2243842151575,1.238049747501
6,90.0,25.0,5.0,1.513421783e-05,8.525307030877,1.8196757846785003
3,90.0,25.0,5.0,1.513421783e-05,6.404842363863999,1.4695191475124991
6,90.0,25.0,5.0,1.513421783e-05,8.993143075776997,3.0554584308324992
3,90.0,25.0,5.0,1.513421783e-05,7.553344971839449,2.1364661778179994
6,90.0,25.0,5.0,1.513421783e-05,9.639485549900499,3.587045644118999
F,60.0,50.0,5.0,1.513421783e-05,13.370124772445,9.038056094468333
F,90.0,25.0,5.0,1.513421783e-05,10.2858421456,3.2612028117516667
F,90.0,50.0,5.0,1.513421783e-05,25.342783287255003,14.040888916885978
F,120.0,12.5,5.0,1.513421783e-05,11.038874205135002,0.9970258019443764
F,120.0,25.0,5.0,1.513421783e-05,17.90312419049,6.162800577931668
F,150.0,37.5,5.0,1.513421783e-05,43.31471976013,13.924232750427224
3,90.0,25.0,5.0,1.6750322160000002e-05,8.752849122536396,0.941854496159499
6,90.0,25.0,5.0,1.6750322160000002e-05,12.864312475419998,2.1825584134829987
3,90.0,25.0,5.0,1.6750322160000002e-05,10.981392526160002,1.0195258119549986
6,90.0,25.0,5.0,1.6750322160000002e-05,12.70855345347,1.6128987448349985
3,90.0,25.0,5.0,1.6750322160000002e-05,12.186581856641498,1.1801800193854992
6,90.0,25.0,5.0,1.6750322160000002e-05,14.478869524769998,2.9703067985499985
3,90.0,25.0,5.0,1.6750322160000002e-05,12.760537524455,2.518163354979998
6,90.0,25.0,5.0,1.6750322160000002e-05,16.62875394565,4.849493356155
F,60.0,50.0,5.0,1.6750322160000002e-05,19.436020284625002,10.992986863077332
F,90.0,25.0,5.0,1.6750322160000002e-05,16.750453491485,4.0367406820290785
F,90.0,50.0,5.0,1.6750322160000002e-05,36.44491234621999,18.04070336448
F,120.0,12.5,5.0,1.6750322160000002e-05,19.76258074896,0.9089920088472234
F,120.0,25.0,5.0,1.6750322160000002e-05,29.22451131082,6.575757138434168
F,150.0,37.5,5.0,1.6750322160000002e-05,65.57171019644,18.47655778728125
3,112.5,31.25,6.25,1.6750322160000002e-05,17.071087797225,2.6133006086249995
6,112.5,31.25,6.25,1.6750322160000002e-05,20.180180267904998,2.028750718749999
3,112.5,31.25,6.25,1.6750322160000002e-05,18.37651276062,2.560337833969999
6,112.5,31.25,6.25,1.6750322160000002e-05,22.81360804499,5.311445411054998
3,135.0,37.5,7.5,1.6750322160000002e-05,24.158261569715,1.7796294468049991
6,135.0,37.5,7.5,1.6750322160000002e-05,31.058099887920005,6.040192282529999
3,135.0,37.5,7.5,1.6750322160000002e-05,33.03536177151,5.9117026122350005
6,135.0,37.5,7.5,1.6750322160000002e-05,42.361496708824994,13.863728378619001
6,135.0,37.5,7.5,1.6750322160000002e-05,42.290900596805,14.259988627163999
3,157.5,43.75,8.75,1.6750322160000002e-05,37.932258512435006,6.709871935858
6,157.5,43.75,8.75,1.6750322160000002e-05,50.766841147715006,16.836507923966494
3,157.5,43.75,8.75,1.6750322160000002e-05,49.088719354394996,12.8956911076245
6,157.5,43.75,8.75,1.6750322160000002e-05,47.360740552475,4.8082985615
3,180.0,50.0,10.0,1.6750322160000002e-05,51.879055492810004,13.237990656810501
6,180.0,50.0,10.0,1.6750322160000002e-05,61.590003376125004,5.760664511594999
3,180.0,50.0,10.0,1.6750322160000002e-05,54.62917554023999,15.073036600167
6,180.0,50.0,10.0,1.6750322160000002e-05,67.66697353814999,7.275982185605001
